Station ID,Value,DateTime,Rainfall (mm),Quality Code
4854009, 18.00,20220106 1800, 0.5, 1
4854009, 18.00,20220106 1900, 0.0, 1
4854009, 18.00,20220106 2000, 0.0, 1
4854009, 18.00,20220106 2100, 0.0, 1
4854009, 18.00,20220106 2200, 0.0, 1
4854009, 18.00,20220106 2300, 0.0, 1
4854009, 18.00,20220107 0000, 0.0, 1
4854009, 18.00,20220107 0100, 0.0, 1
4854009, 18.00,20220107 0200, 0.0, 1
4854009, 18.00,20220107 0300, 0.0, 1
4854009, 18.00,20220107 0400, 0.0, 1
4854009, 18.00,20220107 0500, 0.0, 1
4854009, 18.00,20220107 0600, 0.0, 1
4854009, 18.00,20220107 0700, 0.0, 1
4854009, 18.00,20220107 0800, 0.0, 1
4854009, 18.00,20220107 0900, 0.0, 1
4854009, 18.00,20220107 1000, 0.5, 1
4854009, 18.00,20220107 1100, 0.0, 1
4854009, 18.00,20220107 1200, 0.0, 1
4854009, 18.00,20220107 1300, 0.0, 1
4854009, 18.00,20220107 1400, 0.0, 1
4854009, 18.00,20220107 1500, 0.0, 1
4854009, 18.00,20220107 1600, 1.0, 1
4854009, 18.00,20220107 1700, 1.0, 1
4854009, 18.00,20220107 1800, 0.5, 1
4854009, 18.00,20220107 1900, 1.0, 1
4854009, 18.00,20220107 2000, 0.0, 1
4854009, 18.00,20220107 2100, 0.0, 1
4854009, 18.00,20220107 2200, 0.0, 1
4854009, 18.00,20220107 2300, 0.0, 1
4854009, 18.00,20220108 0000, 0.0, 1
4854009, 18.00,20220108 0100, 0.0, 1
4854009, 18.00,20220108 0200, 0.0, 1
4854009, 18.00,20220108 0300, 0.0, 1
4854009, 18.00,20220108 0400, 0.0, 1
4854009, 18.00,20220108 0500, 0.0, 1
4854009, 18.00,20220108 0600, 0.0, 1
4854009, 18.00,20220108 0700, 0.0, 1
4854009, 18.00,20220108 0800, 0.0, 1
4854009, 18.00,20220108 0900, 0.0, 1
4854009, 18.00,20220108 1000, 0.5, 1
4854009, 18.00,20220108 1100, 0.0, 1
4854009, 18.00,20220108 1200, 0.0, 1
4854009, 18.00,20220108 1300, 0.0, 1
4854009, 18.00,20220108 1400, 0.0, 1
4854009, 18.00,20220108 1500, 0.0, 1
4854009, 18.00,20220108 1600, 0.0, 1
4854009, 18.00,20220108 1700, 0.0, 1
4854009, 18.00,20220108 1800, 0.0, 1
4854009, 18.00,20220108 1900, 0.0, 1
4854009, 18.00,20220108 2000, 0.0, 1
4854009, 18.00,20220108 2100, 0.0, 1
4854009, 18.00,20220108 2200, 0.0, 1
4854009, 18.00,20220108 2300, 0.0, 1
4854009, 18.00,20220109 0000, 0.0, 1
4854009, 18.00,20220109 0100, 0.0, 1
4854009, 18.00,20220109 0200, 0.0, 1
4854009, 18.00,20220109 0300, 0.0, 1
4854009, 18.00,20220109 0400, 0.0, 1
4854009, 18.00,20220109 0500, 0.0, 1
4854009, 18.00,20220109 0600, 0.0, 1
4854009, 18.00,20220109 0700, 0.0, 1
4854009, 18.00,20220109 0800, 0.0, 1
4854009, 18.00,20220109 0900, 0.0, 1
4854009, 18.00,20220109 1000, 0.0, 1
4854009, 18.00,20220109 1100, 0.0, 1
4854009, 18.00,20220109 1200, 0.0, 1
4854009, 18.00,20220109 1300, 0.0, 1
4854009, 18.00,20220109 1400, 0.0, 1
4854009, 18.00,20220109 1500, 0.0, 1
4854009, 18.00,20220109 1600, 0.0, 1
4854009, 18.00,20220109 1700, 0.0, 1
4854009, 18.00,20220109 1800, 0.0, 1
4854009, 18.00,20220109 1900, 0.0, 1
4854009, 18.00,20220109 2000, 0.0, 1
4854009, 18.00,20220109 2100, 0.0, 1
4854009, 18.00,20220109 2200, 0.0, 1
4854009, 18.00,20220109 2300, 0.0, 1
4854009, 18.00,20220110 0000, 0.0, 1
4854009, 18.00,20220110 0100, 0.0, 1
4854009, 18.00,20220110 0200, 0.0, 1
4854009, 18.00,20220110 0300, 0.0, 1
4854009, 18.00,20220110 0400, 0.0, 1
4854009, 18.00,20220110 0500, 0.0, 1
4854009, 18.00,20220110 0600, 0.0, 1
4854009, 18.00,20220110 0700, 0.0, 1
4854009, 18.00,20220110 0800, 0.0, 1
4854009, 18.00,20220110 0900, 0.0, 1
4854009, 18.00,20220110 1000, 0.0, 1
4854009, 18.00,20220110 1100, 0.0, 1
4854009, 18.00,20220110 1200, 0.0, 1
4854009, 18.00,20220110 1300, 0.0, 1
4854009, 18.00,20220110 1400, 0.0, 1
4854009, 18.00,20220110 1500, 0.0, 1
4854009, 18.00,20220110 1600, 0.0, 1
4854009, 18.00,20220110 1700, 0.0, 1
4854009, 18.00,20220110 1800, 0.0, 1
4854009, 18.00,20220110 1900, 0.0, 1
4854009, 18.00,20220110 2000, 0.0, 1
4854009, 18.00,20220110 2100, 0.0, 1
4854009, 18.00,20220110 2200, 0.0, 1
4854009, 18.00,20220110 2300, 0.0, 1
